,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
57,9:00p,Denver Nuggets,117,Phoenix Suns,108,Box Score,,"16,843",
58,10:00p,San Antonio Spurs,102,Sacramento Kings,122,Box Score,,"16,756",
59,3:30p,Boston Celtics,112,Oklahoma City Thunder,111,Box Score,,"18,203",
60,6:00p,New York Knicks,135,Atlanta Hawks,140,Box Score,2OT,"16,309",
61,6:00p,Chicago Bulls,111,Philadelphia 76ers,118,Box Score,,"21,018",
62,6:00p,Memphis Grizzlies,106,Washington Wizards,99,Box Score,,"17,251",
63,7:00p,Utah Jazz,114,Houston Rockets,113,Box Score,,"18,055",
64,7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,Box Score,,"17,240",
65,9:00p,Miami Heat,109,Portland Trail Blazers,115,Box Score,,"19,726",
66,7:00p,Charlotte Hornets,87,Detroit Pistons,76,Box Score,,"13,941",
67,7:00p,Brooklyn Nets,106,Indiana Pacers,105,Box Score,,"16,761",
68,7:00p,Atlanta Hawks,126,Orlando Magic,135,Box Score,,"17,076",
69,7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,Box Score,,"19,800",
70,8:00p,Sacramento Kings,111,Milwaukee Bucks,123,Box Score,,"17,463",
71,8:30p,Utah Jazz,123,Dallas Mavericks,119,Box Score,,"19,793",
72,9:00p,San Antonio Spurs,120,Denver Nuggets,127,Box Score,,"19,520",
73,10:30p,Miami Heat,113,Golden State Warriors,101,Box Score,,"18,064",
74,10:30p,Phoenix Suns,100,Los Angeles Lakers,125,Box Score,,"18,997",
75,7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,Box Score,,"20,730",
76,7:00p,Chicago Bulls,114,Washington Wizards,126,Box Score,,"15,135",
77,8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,Box Score,,"15,739",
78,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,Box Score,,"18,203",
79,9:30p,Boston Celtics,105,Houston Rockets,116,Box Score,,"18,055",
80,7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,Box Score,,"16,200",
81,7:00p,Detroit Pistons,112,Orlando Magic,116,Box Score,OT,"16,607",
82,7:30p,Toronto Raptors,91,Brooklyn Nets,101,Box Score,,"15,823",
83,7:30p,Milwaukee Bucks,111,Indiana Pacers,118,Box Score,,"17,018",
84,7:30p,Washington Wizards,114,New York Knicks,96,Box Score,,"18,835",
85,8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,Box Score,,"16,889",
86,8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,"18,978",
87,8:30p,Sacramento Kings,111,Dallas Mavericks,130,Box Score,,"19,842",
88,9:00p,Golden State Warriors,106,Phoenix Suns,112,Box Score,,"15,216",
89,9:00p,Miami Heat,101,Utah Jazz,116,Box Score,,"18,306",
90,10:00p,Los Angeles Lakers,120,Denver Nuggets,116,Box Score,OT,"19,860",
91,8:00p,Los Angeles Clippers,133,Boston Celtics,141,Box Score,2OT,"19,156",
92,8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,Box Score,,"17,865",
93,7:00p,Milwaukee Bucks,126,Detroit Pistons,106,Box Score,,"16,097",
94,7:30p,Miami Heat,124,Atlanta Hawks,129,Box Score,,"17,356",
95,8:00p,Charlotte Hornets,103,Chicago Bulls,93,Box Score,,"17,463",
96,8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,Box Score,OT,"20,806",
97,10:00p,Memphis Grizzlies,125,Sacramento Kings,129,Box Score,,"17,078",
98,10:30p,Houston Rockets,135,Golden State Warriors,105,Box Score,,"18,064",
99,7:00p,Dallas Mavericks,122,Orlando Magic,106,Box Score,,"18,846",
100,7:00p,Cleveland Cavaliers,113,Washington Wizards,108,Box Score,,"18,895",
101,7:30p,Indiana Pacers,106,New York Knicks,98,Box Score,,"19,812",
102,7:30p,Phoenix Suns,101,Toronto Raptors,118,Box Score,,"19,800",
103,8:00p,Boston Celtics,127,Minnesota Timberwolves,117,Box Score,,"18,978",
104,8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,Box Score,,"18,203",
105,9:00p,San Antonio Spurs,113,Utah Jazz,104,Box Score,,"18,306",
106,10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,Box Score,,"18,997",
107,10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,Box Score,,"19,946",
108,3:30p,Sacramento Kings,112,Los Angeles Clippers,103,Box Score,,"19,068",
109,7:00p,Brooklyn Nets,115,Charlotte Hornets,86,Box Score,,"19,079",
110,7:30p,Dallas Mavericks,107,Atlanta Hawks,111,Box Score,,"17,050",
111,8:00p,Phoenix Suns,112,Chicago Bulls,104,Box Score,,"20,506",
112,8:00p,Cleveland Cavaliers,105,Miami Heat,124,Box Score,,"19,754",
113,8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,Box Score,,"18,290",
114,9:00p,Houston Rockets,120,Utah Jazz,110,Box Score,,"18,306",
115,3:30p,Boston Celtics,112,Los Angeles Lakers,114,Box Score,,"18,997",
116,6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,Box Score,,"19,626",
117,6:00p,Indiana Pacers,81,Toronto Raptors,127,Box Score,,"19,800",
118,7:00p,Washington Wizards,117,Chicago Bulls,126,Box Score,,"18,024",
119,7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,Box Score,,"18,203",
120,8:30p,New Orleans Pelicans,115,Golden State Warriors,101,Box Score,,"18,064",
121,9:00p,Detroit Pistons,104,Portland Trail Blazers,107,Box Score,,"19,393",
122,7:00p,Miami Heat,119,Cleveland Cavaliers,125,Box Score,OT,"17,336",
123,7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,Box Score,,"20,836",
124,7:00p,Milwaukee Bucks,137,Washington Wizards,134,Box Score,OT,"16,580",
125,7:30p,Orlando Magic,115,Brooklyn Nets,113,Box Score,,"16,162",
126,8:00p,New York Knicks,112,Houston Rockets,123,Box Score,,"18,055",
127,8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,Box Score,,"19,936",
128,9:00p,Phoenix Suns,131,Utah Jazz,111,Box Score,,"18,306",
129,10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,Box Score,,"19,068",
130,7:00p,Charlotte Hornets,80,Indiana Pacers,119,Box Score,,"16,088",
131,7:30p,Milwaukee Bucks,108,Toronto Raptors,97,Box Score,,"19,993",
132,8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,Box Score,,"16,911",
133,9:00p,Detroit Pistons,98,Denver Nuggets,115,Box Score,,"19,143",
134,10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,Box Score,,"18,997",
135,10:00p,Boston Celtics,118,Portland Trail Blazers,106,Box Score,,"19,460",
136,10:30p,Sacramento Kings,112,Golden State Warriors,94,Box Score,,"18,064",
137,7:00p,New York Knicks,101,Charlotte Hornets,107,Box Score,,"13,152",
138,7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,Box Score,,"16,332",
139,7:00p,Brooklyn Nets,106,Washington Wizards,110,Box Score,,"15,021",
140,7:30p,Orlando Magic,130,Atlanta Hawks,120,Box Score,,"14,967",
141,7:30p,Minnesota Timberwolves,129,Miami Heat,126,Box Score,,"19,600",
142,8:00p,Memphis Grizzlies,112,Houston Rockets,140,Box Score,,"18,055",
143,8:30p,Dallas Mavericks,109,San Antonio Spurs,103,Box Score,,"18,354",
144,9:00p,Los Angeles Clippers,102,Phoenix Suns,92,Box Score,,"15,157",
145,10:30p,Boston Celtics,114,Utah Jazz,103,Box Score,,"18,306",
146,7:00p,New York Knicks,106,Philadelphia 76ers,115,Box Score,,"20,175",
147,8:00p,Portland Trail Blazers,100,Indiana Pacers,106,Box Score,,"16,872",
148,8:00p,Sacramento Kings,108,Oklahoma City Thunder,112,Box Score,,"18,203",
149,10:30p,Los Angeles Lakers,116,Golden State Warriors,86,Box Score,,"18,064",
150,7:00p,Minnesota Timberwolves,125,Orlando Magic,136,Box Score,,"18,846",
151,7:30p,Brooklyn Nets,118,Atlanta Hawks,141,Box Score,,"17,034",
152,7:30p,Charlotte Hornets,99,Toronto Raptors,96,Box Score,,"19,800",
153,8:00p,Sacramento Kings,104,Memphis Grizzlies,101,Box Score,,"17,794",
154,8:00p,Dallas Mavericks,118,Miami Heat,126,Box Score,,"19,704",
155,8:00p,Oklahoma City Thunder,86,Milwaukee Bucks,133,Box Score,,"18,412",
156,8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,116,Box Score,,"18,304",
157,9:00p,Detroit Pistons,113,Phoenix Suns,111,Box Score,,"17,142",
158,9:00p,Washington Wizards,119,Utah Jazz,129,Box Score,,"18,306",
159,10:30p,Denver Nuggets,103,Los Angeles Clippers,132,Box Score,,"19,068",
160,5:00p,Chicago Bulls,115,New York Knicks,125,Box Score,,"19,812",
161,7:30p,Portland Trail Blazers,117,Atlanta Hawks,129,Box Score,,"17,765",
162,7:30p,Brooklyn Nets,113,Miami Heat,116,Box Score,,"19,600",
163,8:00p,Indiana Pacers,113,Cleveland Cavaliers,104,Box Score,,"19,432",
164,8:00p,Los Angeles Lakers,88,Memphis Grizzlies,105,Box Score,,"17,794",
165,8:30p,Houston Rockets,111,Boston Celtics,110,Box Score,OT,"19,156",
166,8:30p,Orlando Magic,113,San Antonio Spurs,114,Box Score,,"18,354",
167,9:00p,Golden State Warriors,115,Phoenix Suns,99,Box Score,,"16,395",
0,1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,Box Score,,"19,149",
1,3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,Box Score,,"19,068",
2,3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,Box Score,,"18,058",
3,6:00p,Toronto Raptors,118,Denver Nuggets,133,Box Score,,"19,777",
4,6:00p,Detroit Pistons,100,Sacramento Kings,106,Box Score,,"17,499",
5,8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,Box Score,,"18,547",
6,8:30p,Washington Wizards,124,Golden State Warriors,110,Box Score,,"18,064",
7,7:00p,Utah Jazz,126,Cleveland Cavaliers,113,Box Score,,"15,453",
8,7:00p,Houston Rockets,123,New York Knicks,125,Box Score,,"18,142",
9,7:00p,Portland Trail Blazers,130,Orlando Magic,107,Box Score,,"18,078",
10,7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,Box Score,,"16,207",
11,7:30p,Milwaukee Bucks,89,Miami Heat,105,Box Score,,"19,600",
12,8:00p,Dallas Mavericks,107,Chicago Bulls,109,Box Score,,"18,407",
13,8:30p,Indiana Pacers,116,San Antonio Spurs,111,Box Score,,"17,635",
14,7:00p,San Antonio Spurs,104,Charlotte Hornets,103,Box Score,,"12,008",
15,7:30p,Brooklyn Nets,129,Boston Celtics,120,Box Score,OT,"19,156",
16,8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,Box Score,,"15,264",
17,8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,Box Score,,"18,203",
18,9:00p,Golden State Warriors,116,Denver Nuggets,100,Box Score,,"19,520",
19,9:00p,Toronto Raptors,123,Phoenix Suns,114,Box Score,,"15,553",
20,10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,Box Score,,"18,997",
21,10:00p,Washington Wizards,126,Sacramento Kings,133,Box Score,,"16,419",
22,7:00p,Boston Celtics,112,Cleveland Cavaliers,106,Box Score,,"16,897",
23,7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,Box Score,,"15,138",
24,7:00p,Indiana Pacers,100,Milwaukee Bucks,119,Box Score,,"17,695",
25,7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,Box Score,,"16,941",
26,7:30p,Utah Jazz,112,New York Knicks,104,Box Score,,"16,588",
27,7:30p,Orlando Magic,113,Miami Heat,116,Box Score,,"19,600",
28,8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,Box Score,,"13,392",
29,9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,Box Score,OT,"20,459",
30,10:00p,Washington Wizards,104,Portland Trail Blazers,125,Box Score,,"19,393",
31,7:00p,Denver Nuggets,114,Charlotte Hornets,112,Box Score,,"13,311",
32,8:00p,Los Angeles Clippers,120,Houston Rockets,105,Box Score,,"18,055",
33,10:00p,Philadelphia 76ers,125,Sacramento Kings,108,Box Score,,"15,485",
34,10:30p,Toronto Raptors,121,Golden State Warriors,113,Box Score,,"18,064",
35,7:00p,Atlanta Hawks,112,Washington Wizards,118,Box Score,,"17,856",
36,7:30p,San Antonio Spurs,120,Brooklyn Nets,139,Box Score,,"16,277",
37,7:30p,Oklahoma City Thunder,126,New York Knicks,103,Box Score,,"19,499",
38,8:00p,Indiana Pacers,108,Chicago Bulls,102,Box Score,,"20,229",
39,8:00p,Orlando Magic,132,Minnesota Timberwolves,118,Box Score,,"14,315",
40,8:00p,Miami Heat,104,New Orleans Pelicans,110,Box Score,,"18,384",
41,8:00p,Utah Jazz,99,Boston Celtics,94,Box Score,,"19,156",
42,8:30p,Memphis Grizzlies,96,Dallas Mavericks,121,Box Score,,"20,370",
43,9:00p,Portland Trail Blazers,117,Phoenix Suns,127,Box Score,,"15,522",
44,10:30p,Milwaukee Bucks,103,Los Angeles Lakers,113,Box Score,,"18,997",
45,5:00p,Houston Rockets,99,Charlotte Hornets,108,Box Score,,"19,159",
46,7:00p,Utah Jazz,111,Detroit Pistons,105,Box Score,,"16,590",
47,7:30p,Denver Nuggets,102,Cleveland Cavaliers,104,Box Score,,"19,432",
48,8:00p,Atlanta Hawks,101,Memphis Grizzlies,118,Box Score,,"17,117",
49,8:30p,Philadelphia 76ers,114,Golden State Warriors,118,Box Score,,"18,064",
50,10:00p,Sacramento Kings,123,Portland Trail Blazers,111,Box Score,,"19,691",
51,3:00p,Chicago Bulls,107,Brooklyn Nets,110,Box Score,,"15,916",
52,3:30p,New Orleans Pelicans,120,Minnesota Timberwolves,107,Box Score,,"18,978",
53,3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,Box Score,,"19,068",
54,6:00p,Oklahoma City Thunder,105,Boston Celtics,104,Box Score,,"19,156",
55,6:00p,Milwaukee Bucks,131,Phoenix Suns,140,Box Score,,"17,282",
56,7:00p,Miami Heat,100,Washington Wizards,89,Box Score,,"18,135",
57,7:00p,Indiana Pacers,112,Dallas Mavericks,109,Box Score,,"20,324",
58,7:00p,Orlando Magic,126,Houston Rockets,106,Box Score,,"18,055",
59,7:30p,Detroit Pistons,84,New York Knicks,96,Box Score,,"18,361",
60,7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,Box Score,OT,"17,995",
61,9:00p,Toronto Raptors,118,Sacramento Kings,113,Box Score,,"16,449",
62,7:30p,Charlotte Hornets,138,Atlanta Hawks,143,Box Score,2OT,"14,399",
63,9:00p,Milwaukee Bucks,95,Denver Nuggets,109,Box Score,,"19,838",
64,9:00p,Toronto Raptors,101,Utah Jazz,92,Box Score,,"18,306",
65,7:00p,New York Knicks,115,Washington Wizards,122,Box Score,,"15,048",
66,7:00p,Boston Celtics,114,Indiana Pacers,111,Box Score,,"17,053",
67,8:00p,Minnesota Timberwolves,111,Houston Rockets,117,Box Score,,"18,055",
68,8:00p,Dallas Mavericks,109,San Antonio Spurs,119,Box Score,,"18,354",
69,8:00p,Orlando Magic,120,Memphis Grizzlies,115,Box Score,,"15,388",
70,8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,Box Score,,"17,837",
71,10:00p,Phoenix Suns,105,Portland Trail Blazers,121,Box Score,,"19,393",
72,10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,Box Score,,"18,997",
73,10:30p,Los Angeles Clippers,131,Golden State Warriors,107,Box Score,,"18,064",
74,7:00p,Detroit Pistons,106,Philadelphia 76ers,124,Box Score,,"20,172",
75,7:30p,New York Knicks,136,Atlanta Hawks,131,Box Score,OT,"15,393",
76,7:30p,Charlotte Hornets,109,Miami Heat,98,Box Score,,"19,600",
77,8:00p,Denver Nuggets,97,Dallas Mavericks,113,Box Score,,"20,302",
0,6:30p,Utah Jazz,106,New Orleans Pelicans,104,Box Score,,,
1,9:00p,Los Angeles Clippers,101,Los Angeles Lakers,103,Box Score,,,
2,2:30p,Orlando Magic,128,Brooklyn Nets,118,Box Score,,0,
3,4:00p,Memphis Grizzlies,135,Portland Trail Blazers,140,Box Score,OT,,
4,4:00p,Phoenix Suns,125,Washington Wizards,112,Box Score,,,
5,6:30p,Boston Celtics,112,Milwaukee Bucks,119,Box Score,,,
6,8:00p,Sacramento Kings,120,San Antonio Spurs,129,Box Score,,,
7,9:00p,Houston Rockets,153,Dallas Mavericks,149,Box Score,OT,,
0,1:00p,Miami Heat,125,Denver Nuggets,105,Box Score,,,
1,3:30p,Utah Jazz,94,Oklahoma City Thunder,110,Box Score,,,
2,6:00p,New Orleans Pelicans,103,Los Angeles Clippers,126,Box Score,,,
3,7:00p,Philadelphia 76ers,121,Indiana Pacers,127,Box Score,,,
4,8:30p,Los Angeles Lakers,92,Toronto Raptors,107,Box Score,,,
5,2:00p,Washington Wizards,110,Brooklyn Nets,118,Box Score,,,
6,3:30p,Portland Trail Blazers,124,Boston Celtics,128,Box Score,,,
7,4:00p,San Antonio Spurs,108,Memphis Grizzlies,106,Box Score,,,
8,6:00p,Sacramento Kings,116,Orlando Magic,132,Box Score,,,
9,8:30p,Milwaukee Bucks,116,Houston Rockets,120,Box Score,,,
10,9:00p,Dallas Mavericks,115,Phoenix Suns,117,Box Score,,,
11,1:30p,Toronto Raptors,107,Miami Heat,103,Box Score,,,
12,4:00p,Indiana Pacers,111,Washington Wizards,100,Box Score,,,
13,4:00p,Denver Nuggets,121,Oklahoma City Thunder,113,Box Score,OT,,
14,6:30p,Memphis Grizzlies,99,New Orleans Pelicans,109,Box Score,,,
15,8:00p,San Antonio Spurs,130,Philadelphia 76ers,132,Box Score,,,
16,9:00p,Los Angeles Lakers,116,Utah Jazz,108,Box Score,,,
17,1:30p,Brooklyn Nets,119,Milwaukee Bucks,116,Box Score,,,
18,2:30p,Dallas Mavericks,114,Sacramento Kings,110,Box Score,OT,,
19,4:00p,Phoenix Suns,117,Los Angeles Clippers,115,Box Score,,,
20,6:00p,Orlando Magic,109,Indiana Pacers,120,Box Score,,,
21,6:30p,Boston Celtics,106,Miami Heat,112,Box Score,,,
22,9:00p,Houston Rockets,102,Portland Trail Blazers,110,Box Score,,,
23,2:30p,Memphis Grizzlies,115,Utah Jazz,124,Box Score,,,
24,4:00p,Philadelphia 76ers,107,Washington Wizards,98,Box Score,,,
25,4:00p,Denver Nuggets,132,San Antonio Spurs,126,Box Score,,,
26,6:30p,Oklahoma City Thunder,105,Los Angeles Lakers,86,Box Score,,,
27,8:00p,Toronto Raptors,109,Orlando Magic,99,Box Score,,,
28,9:00p,Brooklyn Nets,115,Boston Celtics,149,Box Score,,,
29,1:30p,New Orleans Pelicans,125,Sacramento Kings,140,Box Score,,,
30,4:00p,Miami Heat,116,Milwaukee Bucks,130,Box Score,,,
31,4:00p,Indiana Pacers,99,Phoenix Suns,114,Box Score,,,
32,6:30p,Los Angeles Clippers,126,Dallas Mavericks,111,Box Score,,,
33,8:00p,Portland Trail Blazers,125,Denver Nuggets,115,Box Score,,,
34,9:00p,Los Angeles Lakers,97,Houston Rockets,113,Box Score,,,
35,1:00p,Utah Jazz,111,San Antonio Spurs,119,Box Score,,,
36,4:00p,Oklahoma City Thunder,92,Memphis Grizzlies,121,Box Score,,,
37,5:00p,Sacramento Kings,106,Brooklyn Nets,119,Box Score,,,
38,6:30p,Orlando Magic,101,Philadelphia 76ers,108,Box Score,,,
39,8:00p,Washington Wizards,107,New Orleans Pelicans,118,Box Score,,,
40,9:00p,Boston Celtics,122,Toronto Raptors,100,Box Score,,,
41,1:00p,Los Angeles Clippers,122,Portland Trail Blazers,117,Box Score,,,
42,3:30p,Utah Jazz,132,Denver Nuggets,134,Box Score,2OT,,
43,6:00p,Los Angeles Lakers,111,Indiana Pacers,116,Box Score,,,
44,7:30p,Phoenix Suns,119,Miami Heat,112,Box Score,,,
45,8:30p,Milwaukee Bucks,132,Dallas Mavericks,136,Box Score,OT,,
46,12:30p,Washington Wizards,103,Oklahoma City Thunder,121,Box Score,,,
47,2:00p,Memphis Grizzlies,99,Toronto Raptors,108,Box Score,,,
48,3:00p,San Antonio Spurs,122,New Orleans Pelicans,113,Box Score,,,
49,5:00p,Orlando Magic,119,Boston Celtics,122,Box Score,OT,,
50,6:30p,Philadelphia 76ers,121,Portland Trail Blazers,124,Box Score,,,
51,8:00p,Houston Rockets,129,Sacramento Kings,112,Box Score,,,
52,9:00p,Brooklyn Nets,129,Los Angeles Clippers,120,Box Score,,,
53,2:30p,Oklahoma City Thunder,101,Phoenix Suns,128,Box Score,,,
54,3:00p,Dallas Mavericks,122,Utah Jazz,114,Box Score,,,
55,6:30p,Toronto Raptors,114,Milwaukee Bucks,106,Box Score,,,
56,8:00p,Indiana Pacers,92,Miami Heat,114,Box Score,,,
57,9:00p,Denver Nuggets,121,Los Angeles Lakers,124,Box Score,,,
58,1:00p,Brooklyn Nets,108,Orlando Magic,96,Box Score,,,
59,2:00p,Houston Rockets,105,San Antonio Spurs,123,Box Score,,,
60,4:30p,Phoenix Suns,130,Philadelphia 76ers,117,Box Score,,,
61,5:00p,Boston Celtics,122,Memphis Grizzlies,107,Box Score,,,
62,6:30p,Portland Trail Blazers,134,Dallas Mavericks,131,Box Score,,,
63,9:00p,Milwaukee Bucks,126,Washington Wizards,113,Box Score,,,
64,9:00p,New Orleans Pelicans,106,Sacramento Kings,112,Box Score,,,
65,4:00p,Indiana Pacers,108,Houston Rockets,104,Box Score,,,
66,6:30p,Toronto Raptors,125,Philadelphia 76ers,121,Box Score,,,
67,8:00p,Miami Heat,115,Oklahoma City Thunder,116,Box Score,,,
68,9:00p,Los Angeles Clippers,124,Denver Nuggets,111,Box Score,,,
69,12:00p,Washington Wizards,96,Boston Celtics,90,Box Score,,,
70,1:30p,Sacramento Kings,136,Los Angeles Lakers,122,Box Score,,,
71,4:00p,Dallas Mavericks,102,Phoenix Suns,128,Box Score,,,
72,4:00p,Milwaukee Bucks,106,Memphis Grizzlies,119,Box Score,,,
73,6:30p,San Antonio Spurs,112,Utah Jazz,118,Box Score,,,
74,9:00p,New Orleans Pelicans,127,Orlando Magic,133,Box Score,,,
75,9:00p,Portland Trail Blazers,134,Brooklyn Nets,133,Box Score,,,
76,1:30p,Denver Nuggets,109,Toronto Raptors,117,Box Score,,,
77,4:00p,Miami Heat,92,Indiana Pacers,109,Box Score,,,
78,6:30p,Oklahoma City Thunder,103,Los Angeles Clippers,107,Box Score,OT,,
79,9:00p,Philadelphia 76ers,134,Houston Rockets,96,Box Score,,,
80,2:30p,Memphis Grizzlies,122,Portland Trail Blazers,126,Box Score,,,
81,,,,,,,,,
82,1:30p,Utah Jazz,125,Denver Nuggets,135,Box Score,OT,,
83,4:00p,Brooklyn Nets,110,Toronto Raptors,134,Box Score,,,
84,6:30p,Philadelphia 76ers,101,Boston Celtics,109,Box Score,,,
85,9:00p,Dallas Mavericks,110,Los Angeles Clippers,118,Box Score,,,
86,1:30p,Orlando Magic,122,Milwaukee Bucks,110,Box Score,,,
87,4:00p,Miami Heat,113,Indiana Pacers,101,Box Score,,,
88,6:30p,Oklahoma City Thunder,108,Houston Rockets,123,Box Score,,,
89,9:00p,Portland Trail Blazers,100,Los Angeles Lakers,93,Box Score,,,
90,1:30p,Brooklyn Nets,99,Toronto Raptors,104,Box Score,,,
91,4:00p,Utah Jazz,124,Denver Nuggets,105,Box Score,,,
92,6:30p,Philadelphia 76ers,101,Boston Celtics,128,Box Score,,,
93,9:00p,Dallas Mavericks,127,Los Angeles Clippers,114,Box Score,,,
94,1:00p,Miami Heat,109,Indiana Pacers,100,Box Score,,,
95,3:30p,Oklahoma City Thunder,98,Houston Rockets,111,Box Score,,,
96,6:00p,Orlando Magic,96,Milwaukee Bucks,111,Box Score,,,
